-0.000,96.800,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,90.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,270.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000
59.784,97.441,-80.019,267.083,359.170,1.392,358.853,0.525,359.615,358.853,0.525,359.615,1.612,354.225,358.294,0.775,359.635,269.609,0.620,4.098,356.237,352.649,349.554,79.051,4.064,5.876,359.362,4.064,5.876,359.362,355.094,3.671,351.879,14.527,355.451,96.951,357.083,358.099,356.960,9.534,349.606,271.033,351.535,0.667,356.784,18.327,357.030,3.360,347.965,359.456,357.916,355.516,3.090,357.470,0.711,356.860,359.501,1.872,0.509,2.582
59.784,97.441,-80.019,267.083,359.170,1.392,358.853,0.525,359.615,358.853,0.525,359.615,1.612,354.225,358.294,0.775,359.635,269.609,0.620,4.098,356.237,352.649,349.554,79.051,4.064,5.876,359.362,4.064,5.876,359.362,355.094,3.671,351.879,14.527,355.451,96.951,357.083,358.099,356.960,9.534,349.606,271.033,351.535,0.667,356.784,18.327,357.030,3.360,347.965,359.456,357.916,355.516,3.090,357.470,0.711,356.860,359.501,1.872,0.509,2.582
59.771,97.437,-80.022,267.168,359.194,1.366,358.820,0.522,359.636,358.820,0.522,359.636,1.649,354.237,358.291,0.991,359.696,269.677,0.857,3.810,356.305,353.417,349.793,78.002,4.088,5.887,359.332,4.088,5.887,359.332,355.131,3.690,351.891,14.669,355.406,97.030,357.034,358.272,356.976,9.963,350.474,271.566,351.462,0.648,356.798,18.299,357.059,3.370,347.995,359.437,357.942,355.467,3.093,357.487,0.630,356.853,359.510,1.900,0.496,2.601
59.727,97.425,-80.019,267.258,359.259,1.332,358.801,0.516,359.672,358.801,0.516,359.672,1.725,354.266,358.287,1.416,359.854,269.885,1.283,3.701,356.621,354.777,349.743,76.453,4.103,5.882,359.292,4.103,5.882,359.292,355.302,3.747,351.916,14.887,355.265,97.015,356.910,359.418,356.923,10.533,349.581,271.587,351.392,0.581,356.809,18.212,357.106,3.390,348.077,359.435,357.962,355.429,3.071,357.491,0.449,356.843,359.554,1.987,0.493,2.639
59.631,97.439,-79.955,266.997,359.381,1.456,359.028,0.535,359.639,359.028,0.535,359.639,1.804,354.337,358.282,1.261,359.925,270.013,2.483,3.955,358.402,355.224,348.739,75.343,4.091,5.872,359.223,4.091,5.872,359.223,355.458,3.716,351.863,15.963,354.995,96.568,356.925,0.360,356.675,11.378,348.971,271.325,351.676,0.350,356.670,17.814,357.200,3.369,348.458,359.583,358.067,355.422,3.009,357.248,0.602,356.705,359.683,1.993,0.698,2.688
59.507,97.533,-79.833,266.771,359.548,1.552,359.360,0.572,359.584,359.360,0.572,359.584,1.739,354.384,358.283,0.856,0.222,270.217,3.583,4.672,0.548,354.308,346.700,78.983,4.058,5.936,359.144,4.058,5.936,359.144,355.813,3.722,351.788,16.625,354.584,95.661,357.245,2.356,356.228,12.113,350.083,270.107,352.109,359.847,356.582,16.506,357.595,3.221,349.681,359.712,358.338,355.232,2.778,357.054,1.028,356.699,359.651,1.620,1.298,3.266
59.386,97.544,-79.465,266.847,359.609,1.550,359.568,0.668,359.595,359.568,0.668,359.595,1.686,354.382,358.162,0.964,0.852,270.491,4.280,5.096,2.355,352.824,345.351,81.825,3.935,5.924,359.078,3.935,5.924,359.078,355.859,3.631,351.706,17.045,354.163,94.901,357.275,1.751,356.420,12.409,351.297,269.791,352.260,359.170,356.700,14.928,358.671,2.944,351.273,359.358,358.576,354.820,2.443,356.884,1.480,357.305,359.459,1.050,0.978,4.569
59.713,97.493,-78.960,267.166,359.384,1.447,359.712,1.031,359.699,359.712,1.031,359.699,1.776,354.354,357.838,1.216,1.050,270.815,4.611,5.031,3.279,351.923,343.485,85.883,3.751,5.770,358.959,3.751,5.770,358.959,356.049,3.352,351.549,16.882,353.647,94.088,357.097,0.495,357.011,12.799,351.486,269.534,351.677,357.815,356.963,13.794,1.293,2.722,352.881,358.402,358.924,354.389,1.896,356.836,1.712,358.934,358.726,0.283,359.982,7.562
60.131,97.415,-78.406,267.391,359.105,1.169,359.933,1.465,359.915,359.933,1.465,359.915,1.796,354.273,357.700,1.882,1.318,270.962,5.054,4.115,4.169,351.364,342.596,86.701,3.595,5.596,358.835,3.595,5.596,358.835,356.132,2.869,351.417,16.621,353.405,93.552,356.988,359.950,356.886,12.979,350.852,269.576,350.995,356.621,357.204,13.292,3.639,2.730,353.992,357.588,359.285,354.341,1.206,357.176,0.805,1.032,357.474,0.889,359.029,10.959
